count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
379,2023-04-24,507,105643,МО Одинцово Садовая 24,55.676228,37.248839
249,2023-04-24,507,133447,МО Кашира Ленина 15,54.844701,38.191166
345,2023-04-24,507,110999,МО Одинцово Сколковская 1Б,55.694942,37.324654
591,2023-04-24,507,5807,Подольск Победы 12,55.36019,37.512755
322,2023-04-24,507,3300,МО Свердловский Строителей 22,55.90333042,38.15521555
930,2023-04-24,507,106294,МСК Генерала Белова 29,55.614762,37.721023
450,2023-04-24,507,112009,МСК Александры Монаховой 99,55.541027,37.491668
708,2023-04-24,507,5731,МСК Харьковская 2,55.58771635,37.65275852
52,2023-04-24,507,156980,МО Орехово-Зуево Карла Либкнехта 7,55.80063,38.975238
398,2023-04-24,507,108673,Балашиха Свердлова 16/5,55.82188,37.969703
306,2023-04-24,507,155419,МСК Солнцевский пр-кт 10,55.651542,37.401797
148,2023-04-24,507,157418,МСК 2-я Нововатутинская 5,55.51799,37.352021
229,2023-04-24,507,381,МО Шатура пр-кт Ильича 63,55.576977,39.513734
161,2023-04-24,507,131003,МО Пересвет Комсомольская 10,56.418061,38.180442
213,2023-04-24,507,130391,МО рп Андреевка 16Б,55.978771,37.141254
432,2023-04-24,507,1014,МСК Вилиса Лациса 21к2,55.862614,37.423061
280,2023-04-24,507,580,МО Кашира Советская 6А,54.833699,38.150005
447,2023-04-24,507,102459,МСК Большая Набережная 25/1,55.833742,37.459795
940,2023-04-24,507,3207,Подольск Молодёжная 6,55.407641,37.571074
579,2023-04-24,507,5363,МСК Маршала Захарова 14к1,55.62225141,37.69894814
491,2023-04-24,507,106254,МСК Пятницкое шоссе 35,55.853187,37.359602
278,2023-04-24,507,2758,МО Дмитров Профессиональная 34,56.35747762,37.52936173
1044,2023-04-24,507,100340,МСК пр-кт Вернадского 105к4,55.6638,37.486082
421,2023-04-24,507,107830,МО рп Нахабино Белобородова 1,55.849786,37.196342
417,2023-04-24,507,109136,МО Домодедово Вокзальная 1,55.395853,37.808241
44,2023-04-24,507,172990,МО рп Жилёво Центральная 49,54.980637,38.017395
475,2023-04-24,507,3493,МО Реутов Ленина 15,55.75585047,37.85688812
460,2023-04-24,507,112728,МО Красногорск Вокзальная 17А,55.81418,37.33908
471,2023-04-24,507,131812,МСК Чукотский пр 2,55.866316,37.651705
470,2023-04-24,507,108812,МСК Чечулина 11к1,55.781651,37.831129
858,2023-04-24,507,2515,Химки Молодёжная 78,55.910145,37.391565
1052,2023-04-24,507,111379,МО пос Отрадное Пятницкая 12,55.873752,37.315892
537,2023-04-24,507,107820,МСК Чертановская 40к1,55.613352,37.591446
955,2023-04-24,507,103644,МСК Народного Ополчения 29к1,55.780593,37.479193
630,2023-04-24,507,103676,МСК Туристская 20к1,55.856498,37.421765
565,2023-04-24,507,123519,МСК Смольная 44к2,55.869618,37.473668
242,2023-04-24,507,2756,Балашиха Ситникова 8,55.78936731,37.88349566
320,2023-04-24,507,171989,МСК Ивана Сусанина 8к1,55.870804,37.52837
357,2023-04-24,507,107423,МО Одинцово Чистяковой 66,55.70532,37.319307
885,2023-04-24,507,107770,МСК пос Коммунарка Липовый Парк 7к2,55.567519,37.490028
640,2023-04-24,507,108062,Москва 1-я Новокузьминская 27/12,55.713714,37.795836
458,2023-04-24,507,102282,МСК Батайский пр 25,55.643951,37.721747
490,2023-04-24,507,2511,МО Дубна Советская 19,56.74575278,37.19560265
349,2023-04-24,507,1348,МО Щёлково Институтская 2А,55.905215,38.047243
359,2023-04-24,507,167,МСК Пришвина 3Г,55.889896,37.594243
219,2023-04-24,507,3625,МО пос Аничково 8,55.90138464,38.12036698
425,2023-04-24,507,104467,МСК Корнейчука 36,55.897911,37.626582
419,2023-04-24,507,104597,Химки Лавочкина 13к1,55.891642,37.421658
382,2023-04-24,507,3187,МО Воскресенск Карла Маркса 24,55.250705,38.759204
762,2023-04-24,507,5456,МО Раменское Крымская 2,55.57438272,38.25206434
235,2023-04-24,507,103847,МО Раменское Крымская 9,55.571326,38.259471
337,2023-04-24,507,834,МСК Лётчика Бабушкина 6,55.8592,37.674346
302,2023-04-24,507,105990,МО Воскресенск Рабочая 121А,55.274953,38.754587
1112,2023-04-24,507,2929,МСК Бакинская 6,55.62641164,37.65620173
951,2023-04-24,507,5734,МСК Миклухо-Маклая 18к1,55.64569521,37.51810266
294,2023-04-24,507,5749,МСК Ленинградское шоссе 56,55.83826868,37.48307372
496,2023-04-24,507,105119,МСК Открытое шоссе 19к1,55.823797,37.749713
630,2023-04-24,507,804,МСК пр-кт Будённого 25,55.769953,37.728979
375,2023-04-24,507,113464,МО Пущино мкр АБ 21,54.837276,37.608221
685,2023-04-24,507,111646,МО дач пос Красково Федянина 4Б,55.66092,37.98969
831,2023-04-24,507,102108,МСК с Красная Пахра 10,55.428104,37.269906
817,2023-04-24,507,1915,МСК Большая Спасская 8с1А,55.77557064,37.64316499
448,2023-04-24,507,1732,МО Волоколамск Ново-Солдатская 6,56.03137721,35.95252343
501,2023-04-24,507,2305,МСК Керамический пр 47к1,55.872885,37.568309
790,2023-04-24,507,2827,МСК Шипиловский пр 59к3с2,55.60490306,37.71000441
667,2023-04-24,507,3138,Химки Совхозная 11,55.897525,37.477816
949,2023-04-24,507,104079,МСК Студенческая 20к1,55.743664,37.549082
328,2023-04-24,507,105892,МО Звенигород Нахабинское шоссе 1к1,55.742178,36.851225
860,2023-04-24,507,107163,МСК Новогиреевская 53,55.747553,37.802307
326,2023-04-24,507,111617,МСК пос Внуково 2-я Рейсовая 8/29,55.608946,37.298847
229,2023-04-24,507,133987,Балашиха Речная 9,55.745326,37.962597
24,2023-04-24,507,154339,МО пос Горки-10 32,55.700573,37.025331
369,2023-04-24,507,103953,МО Пушкино Степана Разина 2к3,56.045867,37.861676
564,2023-04-24,507,103753,МСК Анадырский пр 69,55.881451,37.709863
981,2023-04-24,507,2825,МО д Путилково Сходненская 27,55.8733,37.3922
346,2023-04-24,507,107965,МСК Академика Бакулева 10,55.641597,37.485862
367,2023-04-24,507,986,МСК Адмирала Лазарева 63к3,55.53667,37.505696
256,2023-04-24,507,105969,МСК Суздальская 10к1,55.736665,37.846752
274,2023-04-24,507,113249,МСК пос Внуково Интернациональная 12,55.614501,37.25494
